INSTID,UKPRN,Region of HE provider,HE provider,Female,Male,Other,20 and under,21-24,25-29,30 and over,Unknown,Total Student
0047,10000291,EAST,Anglia Ruskin University,12760,8170,0,6565,5150,2860,6345,10,20935
0108,10007759,WMID,Aston University,5990,6500,0,6610,3835,975,1065,5,12490
0048,10000571,SWES,Bath Spa University,5185,2445,0,4065,1835,555,1180,0,7625
0109,10007850,SWES,The University of Bath,7510,8645,0,8600,4780,1075,1700,0,16155
0026,10007152,EAST,University of Bedfordshire,8915,5485,0,4310,4285,1930,3875,0,14400
0127,10007760,LOND,Birkbeck College,6555,5680,10,940,2085,2795,6430,0,12250
0052,10007140,WMID,Birmingham City University,15240,8820,0,10055,6380,2740,4890,0,24070
0110,10006840,WMID,The University of Birmingham,18900,14930,0,15590,9095,3090,6055,5,33830
0200,10000712,WMID,University College Birmingham,3535,1490,0,2195,1760,490,580,0,5025
0007,10007811,EMID,Bishop Grosseteste University,1800,435,0,1105,520,200,410,0,2240
0049,10006841,NWES,The University of Bolton,3520,2800,5,1750,1510,845,2215,0,6320
0197,10000385,SWES,The Arts University Bournemouth,2285,950,5,2140,925,105,70,0,3240
0050,10000824,SWES,Bournemouth University,10955,8090,0,8005,4810,1900,4325,5,19045
0111,10007785,YORH,The University of Bradford,6210,5000,0,4280,3075,1205,2650,0,11220
0051,10000886,SEAS,The University of Brighton,12615,8515,0,8630,5340,2335,4820,5,21130
0112,10007786,SWES,The University of Bristol,11685,10205,15,11865,6660,1690,1690,0,21900
0113,10000961,LOND,Brunel University London,6490,7675,0,6605,4430,1580,1550,0,14165
0009,10000975,SEAS,Buckinghamshire New University,5090,3490,0,3180,1850,925,2620,0,8580
0203,10007787,SEAS,The University of Buckingham,1105,1290,0,515,730,460,690,0,2400
0114,10007788,EAST,The University of Cambridge,9025,10630,10,8805,6220,2655,1975,0,19660
0188,10003324,LOND,The Institute of Cancer Research,165,110,0,0,30,75,170,0,280
0012,10001143,SEAS,Canterbury Christ Church University,10995,5060,0,5950,3280,1805,5020,0,16055
0053,10007141,NWES,The University of Central Lancashire,13830,10630,0,9275,6140,2815,6230,0,24455
0011,10007848,NWES,University of Chester,10100,4820,0,6110,2895,1530,4375,0,14910
0082,10007137,SEAS,The University of Chichester,3435,2085,0,3005,1285,330,900,0,5520
0115,10001478,LOND,"City, University of London†",10610,8385,0,5905,6420,3065,3605,0,19000
0199,10001653,LOND,Conservatoire for Dance and Drama,790,520,0,680,440,135,50,0,1310
0201,10007761,LOND,Courtauld Institute of Art,400,105,0,135,210,85,80,0,510
0056,10001726,WMID,Coventry University,13890,15530,10,13675,8835,2745,4175,0,29435
0002,10007822,EAST,Cranfield University,930,3055,0,10,1070,850,2050,0,3980
0206,10006427,SEAS,University for the Creative Arts,3400,1405,0,2790,1495,215,300,0,4805
0038,10007842,NWES,University of Cumbria,6020,2770,0,2870,2035,1190,2695,0,8790
0068,10001883,EMID,De Montfort University,11905,8995,0,9815,5485,1935,3670,0,20905
0057,10007851,EMID,University of Derbyshire,9230,7070,0,6395,3810,1770,4320,0,16300
0116,10007143,NEAS,University of Durham,9600,8210,0,10475,4605,1245,1480,0,17805
0117,10007789,EAST,The University of East Anglia,9835,6305,5,7315,4765,1580,2485,0,16150
0058,10007144,LOND,The University of East London,8655,4975,0,3640,3790,1895,4300,5,13625
0016,10007823,NWES,Edge Hill University,10615,4925,0,6620,2880,1745,4295,0,15540
0118,10007791,EAST,The University of Essex,7915,5880,0,6900,3510,1050,2340,0,13795
0119,10007792,SWES,The University of Exeter,11795,9865,10,13495,5345,1205,1620,0,21670
0017,10008640,SWES,Falmouth University,2820,1830,5,3070,1160,145,275,0,4660
0229,10004511,SEAS,The National Film and Television School,100,140,0,0,80,100,55,0,240
0054,10007145,SWES,University of Gloucestershire,4585,3250,0,4070,1945,540,1275,5,7835
0131,10002718,LOND,Goldsmiths College,5715,2810,0,3230,2560,1320,1415,0,8525
0059,10007146,LOND,The University of Greenwich,11825,8820,0,7165,5780,2730,4975,0,20650
0208,10007825,LOND,Guildhall School of Music and Drama,465,470,0,365,375,145,45,0,925
0018,10040812,WMID,Harper Adams University,2745,2835,0,1715,1465,760,1625,5,5575
0060,10007147,EAST,University of Hertfordshire,14125,10530,0,10465,6130,2430,5625,0,24655
0205,10007765,LOND,Heythrop College,250,310,0,120,95,50,290,0,555
0061,10007148,YORH,The University of Huddersfield,11005,8265,0,7855,5400,1975,4040,0,19275
0120,10007149,YORH,The University of Hull,9060,7245,0,7120,4055,1590,3540,0,16305
0132,10003270,LOND,"Imperial College of Science, Technology and Medicine",6505,10530,0,6090,7105,2360,1475,0,17035
0121,10007767,WMID,Keele University†,5940,4180,0,5090,2325,870,1835,5,10125
0122,10007150,SEAS,The University of Kent,10315,9355,0,11290,5200,1430,1745,0,19665
0134,10003645,LOND,King's College London,18140,10745,15,9820,8635,4365,6080,0,28900
0063,10003678,LOND,Kingston University,11530,9295,55,8035,6690,2665,3495,0,20885
0123,10007768,NWES,The University of Lancaster,6695,6420,0,7480,3230,805,1600,0,13115
0211,10003854,YORH,Leeds College of Art,980,340,0,890,340,40,45,0,1320
0064,10003861,YORH,Leeds Beckett University,13705,12215,0,13045,5955,2065,4850,0,25920
0124,10007795,YORH,The University of Leeds,19275,12515,0,15970,9340,2740,3735,0,31785
0040,10003863,YORH,Leeds Trinity University,2445,1270,0,2070,970,325,350,0,3715
0125,10007796,EMID,The University of Leicester,9615,8205,0,7740,5160,1965,2955,0,17825
0062,10007151,EMID,The University of Lincoln,7270,6200,0,7490,2840,950,2195,0,13480
0023,10003956,NWES,Liverpool Hope University,3405,1535,0,2590,1405,370,575,0,4940
0065,10003957,NWES,Liverpool John Moores University,11980,9895,0,11425,5360,1945,3145,0,21880
0209,10003945,NWES,The Liverpool Institute for Performing Arts,385,330,0,475,210,25,5,0,720
0126,10006842,NWES,The University of Liverpool†,13500,11275,0,12670,7845,2120,2140,0,24775
0228,10003958,NWES,Liverpool School of Tropical Medicine†,275,150,0,0,55,185,180,0,425
0024,10007162,LOND,"University of the Arts, London",13465,4725,15,7250,7255,2115,1580,0,18205
0135,10007769,LOND,London Business School,655,1420,0,5,240,760,1065,0,2075
0151,10007797,LOND,University of London (Institutes and activities),110,85,0,0,25,30,140,0,195
0202,10004048,LOND,London Metropolitan University,7905,4960,0,2615,4030,2380,3830,10,12865
0076,10004078,LOND,London South Bank University,10330,7275,0,3700,4165,3440,6305,0,17610
0137,10004063,LOND,London School of Economics and Political Science,5375,5055,10,3855,3990,1520,1080,0,10440
0138,10007771,LOND,London School of Hygiene and Tropical Medicine,815,395,0,5,220,390,595,0,1210
0152,10004113,EMID,Loughborough University,6490,10460,0,9300,5175,1000,1475,0,16945
0066,10004180,NWES,The Manchester Metropolitan University,18890,13600,0,16585,9095,2555,4250,0,32485
0204,10007798,NWES,The University of Manchester,21020,18685,0,18805,12910,3855,4135,0,39700
0067,10004351,LOND,Middlesex University,11325,7780,0,6870,5760,2135,4340,0,19110
0154,10007799,NEAS,Newcastle University†,11945,11850,0,12635,7285,1980,1895,0,23795
0028,10007832,WMID,Newman University,2130,680,0,1185,790,295,540,0,2815
0027,10007138,EMID,The University of Northampton,8230,4755,0,5195,2955,1315,3520,0,12985
0069,10001282,NEAS,University of Northumbria at Newcastle,15155,12010,5,12070,7345,2565,5190,0,27165
0190,10004775,EAST,Norwich University of the Arts,1205,785,0,1315,530,60,90,0,2000
0155,10007154,EMID,University of Nottingham,17570,14540,10,16160,8765,3070,4125,0,32125
0071,10004797,EMID,The Nottingham Trent University,15605,12300,20,15520,7820,1960,2620,0,27925
0001,10007773,SEAS,The Open University in England†,60925,40560,0,4435,13925,19290,63835,0,101495
0072,10004930,SEAS,Oxford  Uni at Brookes,10705,7135,0,7335,4915,1995,3575,15,17840
0156,10007774,SEAS,The University of Oxford,11775,13065,20,8675,6290,3975,5865,55,24860
0230,32XDFRG87,SWES,Plymouth College of Art,770,425,5,615,295,85,200,0,1200
0073,10007801,SWES,University of Plymouth,12965,10190,0,9635,6295,2415,4810,0,23150
0074,10007155,SEAS,The University of Portsmouth,9830,12230,0,11035,6530,1630,2865,0,22060
0139,10007775,LOND,Queen Mary University of London,9145,7990,5,8525,5225,1940,1450,0,17135
0030,10005389,LOND,Ravensbourne,1030,1165,0,1420,600,95,75,0,2190
0157,10007802,SEAS,The University of Reading,8515,6460,5,7865,3645,1240,2225,0,14975
0031,10007776,LOND,Roehampton University,6175,2575,0,4205,2120,855,1575,0,8750
0032,10005523,LOND,Rose Bruford College,415,345,0,385,185,55,135,0,755
0033,10007835,LOND,Royal Academy of Music,375,385,0,255,355,130,20,0,760
0195,10005545,SWES,Royal Agricultural University,545,655,0,635,380,90,100,0,1200
0003,10007777,LOND,Royal College of Art,1015,595,0,5,560,630,410,0,1610
0034,10007778,LOND,Royal College of Music,415,395,0,265,370,135,45,0,805
0010,10007816,LOND,The Royal Central School of Speech and Drama,690,350,0,415,330,135,165,0,1045
0141,10005553,SEAS,Royal Holloway and Bedford New College,5980,4005,0,5585,2490,865,1045,0,9990
0035,10007837,NWES,Royal Northern College of Music,435,470,0,410,355,105,40,0,905
0143,10007779,LOND,The Royal Veterinary College,1750,535,0,800,790,345,350,0,2290
0145,10007782,LOND,"St George's, University of London†",4195,1730,0,1205,1160,1180,2380,5,5925
0039,10007843,LOND,"St Mary's University, Twickenham",3065,2470,0,2615,1460,580,875,0,5530
